,Economic cycle,Revenues,Costs,BS protection,Fed liquidity
30/04/2001,36.33304077,23.27561328,38.53347578,40.55238095,60.95238095
31/05/2001,41.17615323,25.32056678,44.11921084,43.14229911,82.58928571
30/06/2001,42.95657071,31.65379283,44.55717383,45.82142857,54.20168067
31/07/2001,42.97110879,30.98468344,35.11014449,48.99801587,82.93650794
31/08/2001,41.57214793,28.65477386,35.235849,44.98778195,73.30827068
30/09/2001,37.14995635,31.1904129,31.52312137,40.43125,78.92857143
31/10/2001,33.11454003,22.37758538,35.2295991,44.61139456,89.79591837
30/11/2001,35.8153074,37.91253079,28.3787663,44.27678571,66.55844156
31/12/2001,43.54532579,39.95754648,29.30553947,53.80007764,78.88198758
31/01/2002,48.08765221,40.31089884,33.44698377,53.03645833,66.36904762
28/02/2002,52.32182288,41.53815937,36.57882241,52.035,79.71428571
31/03/2002,54.46793161,40.43206423,40.69490389,56.01510989,74.17582418
30/04/2002,56.08421617,38.7654321,46.43637227,52.75661376,69.04761905
31/05/2002,55.91838664,50.87216967,50.42198499,60.94770408,77.80612245
30/06/2002,53.84098715,40.62384933,45.38045766,55.37961823,71.92118227
31/07/2002,49.13842501,41.1987693,43.18107132,50.66339286,66.66666667
31/08/2002,47.5419118,42.68212592,43.57471959,51.17828341,68.66359447
30/09/2002,47.05259094,41.43922423,40.42291066,51.14397321,62.94642857
31/10/2002,48.6152335,38.19827058,41.97707385,51.46130952,65.36796537
30/11/2002,48.50177865,40.30732158,45.09690292,49.47058824,65.33613445
31/12/2002,51.81787873,43.13527431,43.54432799,47.49778912,87.55102041
31/01/2003,49.94113266,47.37974988,45.41259666,48.3723545,74.20634921
28/02/2003,46.33444975,52.2075611,51.11987751,45.81829151,77.41312741
31/03/2003,40.01804957,41.02185918,56.33525985,51.04385965,76.5037594
30/04/2003,43.91775864,51.41768563,52.41616327,49.98084554,80.58608059
31/05/2003,46.67172624,48.8536001,38.28355634,48.74575893,73.57142857
30/06/2003,51.07496859,49.24638663,39.18430604,47.24608014,68.98954704
31/07/2003,55.96894434,60.08605216,43.16281328,57.34325397,76.19047619
31/08/2003,61.22735045,62.00047727,47.05463034,59.99838501,75.91362126
30/09/2003,59.56890827,66.2085976,51.52433376,60.24936869,67.69480519
31/10/2003,62.95469657,69.89057239,52.46178359,57.08902998,65.07936508
30/11/2003,61.98169175,69.50350526,54.54288152,56.55039683,58.85093168
31/12/2003,66.10840035,70.79143267,56.17747693,62.94167511,56.83890578
31/01/2004,66.95023858,61.94099685,55.85502627,53.13533399,41.19318182
29/02/2004,60.20135657,66.84386381,53.6805309,52.2516197,30.14842301
31/03/2004,61.58660829,65.06266749,55.03957635,47.08063492,45.90909091
30/04/2004,60.3973315,73.03675975,55.78517697,55.53983816,44.65240642
31/05/2004,61.55280583,68.23776986,61.52685309,64.57982295,41.6958042
30/06/2004,57.58878038,71.43881974,67.54900699,66.46196466,39.10806175
31/07/2004,56.56644414,61.07182941,63.45347728,61.8813933,42.34006734
31/08/2004,54.65483227,61.90785521,56.20933149,59.6511544,44.46280992
30/09/2004,56.76372772,58.9457672,53.85285655,61.73618197,46.91558442
31/10/2004,54.39921206,60.81912483,53.81362005,55.89271791,38.59649123
30/11/2004,57.24970341,61.50057746,61.93983156,57.2597838,48.27586207
31/12/2004,59.78901482,63.2085712,62.99244873,58.87516815,39.29121726
31/01/2005,58.55331352,62.39813388,58.56575382,58.62017196,45.68181818
28/02/2005,57.56034984,66.05151699,55.80150965,62.43709342,48.43517139
31/03/2005,57.72223496,68.35717478,56.37766289,67.16813876,42.228739
30/04/2005,55.44103228,64.25698356,63.14042343,66.92334341,39.53823954
31/05/2005,51.34289614,69.34264103,58.29514725,59.08773562,30.68181818
30/06/2005,55.66343496,58.74178484,48.29823102,58.30808271,35.87412587
31/07/2005,61.38944325,61.14984342,46.86306336,60.45560555,33.74655647
31/08/2005,57.79208886,62.84536911,56.7477382,61.30877567,42.87652646
30/09/2005,49.15781127,64.12841467,63.49518118,59.6004467,42.71390374
31/10/2005,45.98667278,67.81758334,65.05889345,60.78416367,28.52437418
30/11/2005,50.37753532,68.83859297,66.30640122,62.77464972,34.80519481
31/12/2005,52.63531392,66.11068431,59.7401872,60.55488156,47.18309859
31/01/2006,51.89674564,59.75571442,56.93274146,59.61888518,32.95454545
28/02/2006,51.91404372,64.94556806,56.01325006,59.43839228,37.85803238
31/03/2006,53.25396475,63.12967388,51.24705203,60.23985338,31.57248157
30/04/2006,53.44039387,60.04704705,56.26150912,61.43117827,44.96969697
31/05/2006,48.28408104,63.96583968,55.77872345,61.84381542,49.46172249
30/06/2006,46.97974169,50.85055384,61.09419286,62.77261995,29.45690673
31/07/2006,44.43623514,51.13368113,57.38048002,62.69118683,35.75174825
31/08/2006,42.27218659,48.04486496,54.97168646,58.06256376,39.64326812
30/09/2006,46.47680649,45.51972787,47.70115654,53.61176468,32.21590909
31/10/2006,48.36679039,45.36567839,37.45310413,52.24021332,32.71604938
30/11/2006,48.0559769,47.1591961,34.83505387,52.30186763,32.15077605
31/12/2006,47.68344173,44.33542992,38.45600905,54.22388079,42.1686747
31/01/2007,54.08131759,56.31633315,42.33968551,52.80558231,48.05194805
28/02/2007,51.52347976,50.26379575,42.32189373,52.88027274,42.2459893
31/03/2007,49.87609291,49.90185485,47.18083856,51.9797823,42.86469345
30/04/2007,47.50218042,55.56244077,55.56739253,52.76950038,36.99059561
31/05/2007,51.30983597,40.09325227,54.80577299,53.55565524,34.96900826
30/06/2007,49.37372734,45.32251352,54.66995769,56.8081712,36.56792646
31/07/2007,45.2823041,43.25565266,56.37303359,56.46436187,32.82828283
31/08/2007,42.99688739,44.01506313,53.3269994,53.91633049,33.86613387
30/09/2007,43.00125376,48.70079196,49.66196533,48.02386719,51.87747036
31/10/2007,40.44846551,45.83225901,50.2548351,44.67063646,43.93939394
30/11/2007,39.93060706,42.86378619,57.42830977,42.69413777,37.3065764
31/12/2007,38.60172506,56.73920994,64.36479895,44.80748747,34.88038278
31/01/2008,39.54742076,48.3448631,61.82461136,36.84730903,53.97727273
29/02/2008,36.19694897,44.10515883,62.05728926,39.11579324,40.01874414
31/03/2008,33.94149746,40.79478511,57.93482161,37.95001076,31.0296846
30/04/2008,32.34778751,40.25480011,65.09078938,41.76875211,40.86317723
31/05/2008,32.53675602,45.22232744,65.93215358,45.8082218,53.27272727
30/06/2008,29.88633783,52.65284906,70.78551391,48.2055591,39.15391539
31/07/2008,33.4323148,54.9392525,69.05560268,52.20012076,54.09982175
31/08/2008,32.60340185,56.09498757,70.5427409,53.82294721,42.85083848
30/09/2008,33.65016092,40.48580858,61.97998699,47.25872117,58.91608392
31/10/2008,27.40915848,34.57229499,56.71501142,46.22712867,63.24675325
30/11/2008,25.19166219,29.55912676,46.63300666,37.29442141,64.96569468
31/12/2008,23.25263981,32.02237802,37.70130321,31.44918624,65.37807986
31/01/2009,25.74458688,29.05286805,35.67190185,32.39578634,64.77272727
28/02/2009,25.71031597,25.10253658,33.39400341,31.79723985,64.17848207
31/03/2009,26.80361036,25.03822279,36.49409079,30.84857707,64.66942149
30/04/2009,33.97784014,23.89406241,36.83728284,31.20838249,65.35626536
31/05/2009,38.29583733,19.12515194,38.302192,35.82938966,60.71428571
30/06/2009,43.67620673,20.8023442,46.06193394,40.90932457,42.96057924
31/07/2009,42.76330633,22.76207222,48.9517176,39.28164857,54.38596491
31/08/2009,46.32726519,28.12612729,44.50478891,39.22624133,62.80632411
30/09/2009,46.41757701,28.30432235,42.6764447,39.72169241,55.83855799
31/10/2009,47.92553967,27.46864832,41.12252856,41.2528522,74.16472416
30/11/2009,47.25851739,31.09390672,44.54991602,39.39264448,62.71186441
31/12/2009,46.30476939,31.30841422,47.27659022,44.49730642,52.06264324
31/01/2010,48.60140278,37.60305553,49.75741718,42.60904431,64.54545455
28/02/2010,47.51378007,39.55552862,53.03963445,41.03872409,72.53944403
31/03/2010,52.28109392,43.12520154,48.7104772,44.1099785,67.13859911
30/04/2010,53.62715143,46.96217184,54.04864047,46.3306048,53.62158167
31/05/2010,55.62827826,51.57462169,51.00017528,39.52639125,48.86363636
30/06/2010,51.11494111,45.90506282,44.01676282,38.28062219,52.47272727
31/07/2010,46.68590384,43.2978371,39.94559569,38.92208768,58.22510823
31/08/2010,45.49125462,39.75041788,38.68840671,37.17332698,42.44810308
30/09/2010,43.74020748,44.0168432,40.44483707,35.60105547,40.234375
31/10/2010,49.39133033,49.18315112,41.0126999,34.51348604,37.70260747
30/11/2010,50.91734938,47.92787403,46.705014,39.91934259,37.23776224
31/12/2010,56.57274833,53.00346514,52.60639796,44.15303388,53.9555864
31/01/2011,58.84948019,57.79112375,56.45518358,44.10269693,51.58402204
28/02/2011,60.33540096,58.96376267,56.24708308,46.05126706,65.37935748
31/03/2011,55.55845338,59.21591679,61.12858317,45.38327144,73.33785617
30/04/2011,53.74866955,58.15717043,60.05200135,45.14405098,73.87205387
31/05/2011,48.54673401,61.82468327,59.23755452,46.24435163,72.25935829
30/06/2011,47.34008605,58.92819442,54.37136925,45.84666606,77.77040478
31/07/2011,45.53322783,60.90652614,51.06889728,45.1233505,78.78787879
31/08/2011,42.29509939,54.68098775,50.02422153,44.14719582,78.77697842
30/09/2011,44.91844367,54.61868763,49.34739678,41.40633096,74.87012987
31/10/2011,44.4362276,53.37669371,46.83916144,41.605281,70.53513862
30/11/2011,51.01796359,50.12691891,45.2727974,42.00886801,56.40204866
31/12/2011,54.16689197,50.49316096,38.0572011,37.78764319,63.23903369
31/01/2012,58.35660224,42.36944768,36.91664155,36.31687004,54.16666667
29/02/2012,62.47944847,47.84894216,39.94418851,36.38425424,59.59247649
31/03/2012,62.05422758,55.46708841,41.97422323,42.30836094,53.92278954
30/04/2012,56.84932224,52.65174407,42.67744445,45.1119821,42.08410637
31/05/2012,54.74792096,48.80889902,35.47206681,44.46625146,47.66584767
30/06/2012,48.55856594,41.66740402,33.86157118,44.04581897,28.79804759
31/07/2012,44.45126299,38.32674998,31.86192507,42.5735575,37.72727273
31/08/2012,44.21939425,37.43945175,33.68793273,45.19125241,37.98916315
30/09/2012,50.15807884,38.99683589,35.61830923,43.09847293,26.40550239
31/10/2012,54.06053251,36.73435232,38.56659534,44.12654283,28.99584076
30/11/2012,53.42882701,39.23531748,41.52199248,43.03368026,51.56434475
31/12/2012,50.05411527,43.35845938,40.98473496,45.71978535,48.73900293
31/01/2013,52.11804949,45.34151461,41.13720438,45.40153187,62.41258741
28/02/2013,54.21486726,49.14005438,41.9344596,45.98087216,62.70990156
31/03/2013,53.11206797,48.3295815,40.06434292,45.96226951,69.87917146
30/04/2013,51.06332642,43.19907639,36.30320169,44.6362489,60.52029731
31/05/2013,53.7970344,37.08260166,33.30793797,50.70177875,72.69886364
30/06/2013,54.92621604,39.72236927,33.62531672,55.01720476,60.10728402
31/07/2013,56.61617083,37.76391259,36.54990255,55.72969212,67.52244669
31/08/2013,54.11497524,42.68322201,39.89456358,56.75988096,71.44450641
30/09/2013,54.43581583,40.44565601,40.76710384,54.7059424,65.60421286
31/10/2013,50.84524593,40.38676776,37.84962629,53.7329101,82.0661157
30/11/2013,52.28430779,47.26473794,39.10709411,53.68685735,70.83789704
31/12/2013,57.00311519,46.41810999,35.86937399,55.263362,64.77953185
31/01/2014,56.0361702,50.26365109,40.64945068,53.86901443,71.91558442
28/02/2014,52.4464038,44.94266867,42.10453921,54.89996861,69.87627757
31/03/2014,55.34346485,47.33232593,44.75799172,57.40678526,63.74331551
30/04/2014,60.22105168,49.68108193,48.53559443,58.24632481,67.70334928
31/05/2014,59.52783323,50.67926691,44.85427547,55.94652263,69.7410148
30/06/2014,59.82861772,53.72425162,46.33544813,55.17021904,63.05832895
31/07/2014,59.70668252,52.63045553,44.68491708,55.37470329,66.82340648
31/08/2014,64.81598112,49.91890613,40.43476551,54.26729276,62.22077922
30/09/2014,59.48363538,50.06179498,36.15895887,54.83329415,53.27995868
31/10/2014,60.90477779,47.38797222,36.37485821,52.04316029,57.62711864
30/11/2014,59.61780598,50.07048691,33.3037382,53.80397228,44.79060266
31/12/2014,61.6568535,44.25370645,32.85265673,52.28622742,41.79786694
31/01/2015,58.77812718,45.82726292,28.01409323,46.34618076,45.2020202
28/02/2015,55.41239023,40.39290443,27.43628804,49.2394846,45.55499749
31/03/2015,53.51492711,43.92444977,25.06395774,49.71126808,58.04195804
30/04/2015,54.83859436,42.60010903,26.45512279,49.48075126,34.9726776
31/05/2015,55.37356814,42.41542129,30.81299158,52.86295615,37.96936759
30/06/2015,54.40165969,42.63695239,33.5856175,54.49281349,32.67813268
31/07/2015,53.65240255,41.42577928,36.59623696,54.81151872,31.36608016
31/08/2015,54.621545,49.30685504,38.33411216,49.98047801,41.24939232
30/09/2015,49.3692685,47.52216292,33.8625977,49.50239458,19.70502901
31/10/2015,50.41944643,44.9541685,29.3681514,50.81063221,53.15055315
30/11/2015,46.69133964,38.51730991,30.03917261,50.86743184,45.52631579
31/12/2015,47.79672679,37.19342642,29.59060928,51.94990705,22.63207996
31/01/2016,46.29059363,42.0779095,29.41935792,48.6168951,21.23579545
29/02/2016,46.82986778,38.06139031,32.08050977,45.94262026,34.05558172
31/03/2016,48.09105913,47.63586513,34.16784436,49.24041241,30.95126523
30/04/2016,48.56072556,42.26104788,34.64720039,48.68917641,25.05827506
31/05/2016,49.97376941,44.18094026,35.4601568,47.11258859,23.19109462
30/06/2016,48.80623699,48.6952341,37.52979713,44.72724163,28.40332257
31/07/2016,51.08261413,51.2035963,42.24967844,45.71860213,29.17814509
31/08/2016,47.51622347,47.25217699,41.49844105,47.3592279,24.44038374
30/09/2016,51.26289349,47.18241205,41.47400584,46.51232382,22.25
31/10/2016,49.1741336,50.51593275,39.6790607,48.50737278,19.47082768
30/11/2016,54.95785117,46.89626658,45.6988921,54.84990908,20.70207021
31/12/2016,58.62818047,46.86862483,44.53926293,57.0834027,24.47380206
31/01/2017,62.6140142,50.14440269,52.47148804,57.98485087,25.557041
28/02/2017,61.70920923,59.60568881,53.77610071,57.14453889,43.88026608
31/03/2017,60.88741705,59.714918,55.32951967,60.27598213,54.39099735
30/04/2017,57.74810952,59.43602967,51.72391373,60.94909198,52.78875714
31/05/2017,57.60952902,58.81812839,52.9259425,60.76472992,50.02185315
30/06/2017,55.36753521,51.68692908,50.18210497,62.13999729,51.39190953
31/07/2017,53.04666658,53.6336457,49.67493272,62.50321626,54.67532468
31/08/2017,52.53768408,46.71561678,43.21498012,61.13707462,56.74278328
30/09/2017,56.36303005,51.9568512,46.43704617,60.71769068,42.6457976
31/10/2017,57.94584707,58.25316965,51.373826,61.98060645,55.61246265
30/11/2017,60.04254508,55.92724573,53.66106008,61.62058033,53.71707732
31/12/2017,59.5927672,63.7794905,58.75971088,60.2951136,55.30655391
31/01/2018,61.97023037,68.90735031,52.53528307,62.13409029,35.60606061
28/02/2018,62.75730266,64.86149142,57.07718679,63.91755084,31.94386259
31/03/2018,59.36389267,65.9339425,59.18279402,65.92723626,29.83736447
30/04/2018,57.75479608,56.47927248,60.23612268,66.03899258,23.05936073
31/05/2018,59.93040828,55.92726951,57.07420167,66.25389058,23.82231405
30/06/2018,59.35638487,65.68145697,57.49944238,65.93375603,22.45989305
31/07/2018,55.77239164,54.50607128,56.86299384,65.74333981,22.2972973
31/08/2018,54.77950576,61.39445176,57.25467066,64.97804228,19.00733795
30/09/2018,56.397151,61.45615582,53.46558477,63.7797562,18.56737013
31/10/2018,56.17627038,54.17619686,56.88327843,63.37244241,27.21212121
30/11/2018,51.23096714,62.08520602,58.05235156,64.63857795,25.60337892
31/12/2018,44.85008162,65.44405567,53.81658031,63.09325099,22.66720064
31/01/2019,40.09104177,47.22229531,52.85918192,60.79050107,19.37799043
28/02/2019,43.91107199,53.39335018,45.46838567,58.99042991,27.31242557
31/03/2019,45.58524554,48.08592983,43.44049644,52.62347172,31.85770751
30/04/2019,48.37361031,49.58797741,41.62900111,56.6895092,23.43565525
31/05/2019,47.95826015,55.82017558,45.93169017,52.44535096,36.14811912
30/06/2019,48.09178337,51.49911966,44.54844204,49.94290347,34.70542333
31/07/2019,50.29437264,54.98882932,40.47519166,48.64881732,40.6954157
31/08/2019,45.18820484,60.20031266,40.57691108,46.41679162,39.92263056
30/09/2019,46.25697266,56.83957675,38.0113128,45.96080577,30.39291217
31/10/2019,44.45012349,54.98664755,36.24394143,45.62139338,40.77483698
30/11/2019,48.02258202,53.46062968,35.69689139,44.51898518,45.20626432
31/12/2019,52.94317895,50.3714522,35.86379135,49.24975839,55.74362876
31/01/2020,54.99178484,52.82314075,41.8247146,43.01898235,56.70454545
29/02/2020,56.44326611,64.71295724,39.08498681,42.90557131,54.28140324
31/03/2020,38.75461877,56.85932399,33.08779039,37.22119335,68.4823441
30/04/2020,18.86217036,46.2691168,28.95123205,37.86341773,69.07968575
31/05/2020,17.02324718,42.35091536,28.54873455,38.96280967,69.26229508
30/06/2020,27.74303345,46.40205775,30.4726144,37.53447878,68.94248609
31/07/2020,40.7719404,58.95110299,30.74899153,38.93754879,68.6067997
31/08/2020,46.6226462,62.80633701,37.08905554,41.95555925,68.75230033
30/09/2020,49.17899855,63.81044406,41.58246294,45.22393929,67.8702346
31/10/2020,56.6007398,61.03922069,42.9643604,43.50515382,57.95910916
30/11/2020,55.27697903,58.1407022,47.44677789,43.40788053,55.07272727
31/12/2020,51.25372027,58.25972366,47.96073676,42.51283575,70.26439696
31/01/2021,52.63401445,59.00102871,54.22715703,42.67171814,76.497114
28/02/2021,49.734804,64.46988482,58.68861092,43.97345647,73.33812433
31/03/2021,54.92468604,56.13676153,63.64261186,51.14511989,77.75590551
30/04/2021,65.69447249,63.8813125,67.59882153,51.88251519,81.88948307
31/05/2021,65.71402524,74.10706639,72.80509209,50.47227675,78.97727273
30/06/2021,63.18900123,80.80689536,73.21730916,50.42758659,73.32861691
31/07/2021,59.4432406,76.94270795,74.32586993,48.17043451,81.90627202
31/08/2021,55.46775307,69.07677007,73.95145094,47.80477756,82.55528256
30/09/2021,52.96744398,79.56282034,74.05963352,46.51201097,75.17482517
31/10/2021,52.4845226,78.28791056,74.70240977,50.86607647,72.4137931
30/11/2021,54.80241362,76.41618965,73.79165864,53.04219987,72.77931992
31/12/2021,57.6012778,83.23879056,73.60455816,52.99023794,74.50743173
31/01/2022,54.27191001,82.69438885,75.28870117,56.73131894,57.59297521
28/02/2022,53.04168693,79.36909226,75.12181549,59.56338519,55.54030875
31/03/2022,50.46598949,82.31962176,77.72894348,64.00177129,54.3062201
30/04/2022,50.94843708,79.88410933,80.40849161,66.1674428,47.53149472
31/05/2022,48.90539502,80.55314906,80.19812922,68.91383423,39.07734057
30/06/2022,43.07723753,78.82626639,80.56338023,68.3055106,39.97972288
31/07/2022,41.24879897,79.35358199,75.45092489,68.69672799,38.63636364
31/08/2022,44.12688749,70.56296947,73.00029051,68.97364687,30.34216706
30/09/2022,45.29797127,69.87026697,66.0805855,67.21216553,25.41778075
31/10/2022,43.89015175,69.50946385,63.44547658,67.24787567,27.85547786
30/11/2022,40.56188454,70.37208111,63.20539567,68.15304622,22.26277372
31/12/2022,39.80119396,62.28541782,57.93529586,67.92031518,24.7107438
31/01/2023,43.17356423,58.78692648,52.56950004,67.22459682,26.8115942
28/02/2023,47.54849781,64.32530556,54.23462194,67.04795533,29.55365934
31/03/2023,43.58450185,62.29326122,49.48507962,66.72540144,44.94767822
30/04/2023,43.67262135,55.4944521,47.2870074,67.24136374,43.66243076
31/05/2023,39.89545247,55.4599641,44.76497972,67.62105839,45.61688312
30/06/2023,46.80504496,50.21395503,41.46217771,68.13314021,47.73536072
31/07/2023,46.00191879,54.58663645,39.80537315,67.97667401,42.31141199
31/08/2023,45.61711463,58.34058323,41.17318607,67.89879269,38.80501124
30/09/2023,45.1246306,53.24349399,45.39872199,66.8815125,28.77720871
31/10/2023,42.42685474,55.95265693,53.85705609,66.11327096,31.86602871
30/11/2023,41.06280929,57.56229206,48.87359985,63.1477086,32.56516211
31/12/2023,44.08944019,52.13442396,44.49769224,59.61279499,35.27082673
31/01/2024,47.63455437,59.75142872,42.11188618,59.08464874,33.4280303
29/02/2024,44.8341728,50.94440257,41.82112169,61.04933747,34.66498899
31/03/2024,47.57926935,45.53055076,48.69699496,60.01590178,36.09717868
30/04/2024,42.14862697,48.0684557,47.70081924,61.68681571,33.38019369
31/05/2024,45.28426483,47.41296561,49.22254224,61.09122278,32.19178082
30/06/2024,39.69491197,47.88675717,46.94254833,59.75673035,26.21780949
31/07/2024,41.65974892,50.8353054,47.02176332,57.79724395,30.56586271
31/08/2024,38.80178802,53.84825946,43.46937721,52.6085079,32.95839753
30/09/2024,43.2427766,53.13474918,42.65817596,48.51923413,23.81756757
31/10/2024,45.235709,60.75375743,42.07094071,52.4056495,34.90970309
30/11/2024,49.39459972,57.19094799,44.13132677,55.60524595,30.7504576
31/12/2024,48.74545395,58.10780097,47.43544111,58.93293329,34.72179994
